f(MAX) Summary
Exploration Point,testeHps:u0|testeHps_hps_0:hps_0|testeHps_hps_0_hps_io:hps_io|testeHps_hps_0_hps_io_border:border|hps_sdram:hps_sdram_inst|hps_sdram_pll:pll|afi_clk_write_clk,f(MAX) Geomean
dse1_hpstut_1,1184.83 MHz,1184.830 MHz
dse1_hpstut_base,1184.83 MHz,1184.830 MHz
