Clocks: Frequency
Exploration Point,HPS_DDR3_CK_N,HPS_DDR3_CK_P,HPS_DDR3_DQS_N[0]_OUT,HPS_DDR3_DQS_N[1]_OUT,HPS_DDR3_DQS_N[2]_OUT,HPS_DDR3_DQS_N[3]_OUT,HPS_DDR3_DQS_P[0]_IN,HPS_DDR3_DQS_P[0]_OUT,HPS_DDR3_DQS_P[1]_IN,HPS_DDR3_DQS_P[1]_OUT,HPS_DDR3_DQS_P[2]_IN,HPS_DDR3_DQS_P[2]_OUT,HPS_DDR3_DQS_P[3]_IN,HPS_DDR3_DQS_P[3]_OUT,testeHps:u0|testeHps_hps_0:hps_0|testeHps_hps_0_hps_io:hps_io|testeHps_hps_0_hps_io_border:border|hps_sdram:hps_sdram_inst|hps_sdram_pll:pll|afi_clk_write_clk,testeHps:u0|testeHps_hps_0:hps_0|testeHps_hps_0_hps_io:hps_io|testeHps_hps_0_hps_io_border:border|hps_sdram:hps_sdram_inst|hps_sdram_pll:pll|pll_write_clk_dq_write_clk,u0|hps_0|hps_io|border|hps_sdram_inst|hps_sdram_p0_sampling_clock
dse1_hpstut_1,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz
dse1_hpstut_base,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz,400.0 MHz
