Multicorner Timing Analysis Total Negative Slack: Setup
Exploration Point,testeHps:u0|testeHps_hps_0:hps_0|testeHps_hps_0_hps_io:hps_io|testeHps_hps_0_hps_io_border:border|hps_sdram:hps_sdram_inst|hps_sdram_pll:pll|afi_clk_write_clk
dse1_hpstut_1,0.000
dse1_hpstut_base,0.000
